SalesOrderID,OpportunityID,OrderDate,OrderAmount,Status
SO5000,OPP3034,2025-08-02,21464.16,Billed
SO5001,OPP3001,2025-04-26,41736.38,Fulfilled
SO5002,OPP3009,2025-10-18,14871.75,Fulfilled
SO5003,OPP3038,2025-01-22,7209.48,Billed
SO5004,OPP3031,2025-01-05,7000.62,Fulfilled
SO5005,OPP3036,2025-10-28,3787.81,Pending
SO5006,OPP3036,2025-03-24,41025.33,Fulfilled
SO5007,OPP3033,2025-05-14,14403.6,Fulfilled
SO5008,OPP3025,2025-09-02,37018.63,Pending
SO5009,OPP3009,2025-08-10,32329.6,Fulfilled
SO5010,OPP3031,2025-06-15,13969.6,Fulfilled
SO5011,OPP3006,2025-04-09,22611.84,Fulfilled
SO5012,OPP3008,2025-10-21,24977.93,Pending
SO5013,OPP3039,2025-05-17,33450.11,Fulfilled
SO5014,OPP3024,2025-05-26,10504.96,Pending
SO5015,OPP3010,2025-07-06,49330.84,Pending
SO5016,OPP3035,2025-07-22,2440.35,Pending
SO5017,OPP3038,2025-07-09,31964.56,Billed
SO5018,OPP3005,2025-06-02,47407.24,Fulfilled
SO5019,OPP3036,2025-06-05,21975.52,Pending
SO5020,OPP3027,2025-05-10,45128.57,Fulfilled
SO5021,OPP3010,2025-03-08,26151.17,Fulfilled
SO5022,OPP3018,2025-10-28,37536.2,Billed
SO5023,OPP3012,2025-03-11,41773.25,Billed
SO5024,OPP3026,2025-05-31,25430.1,Billed
SO5025,OPP3023,2025-06-21,3225.09,Fulfilled
SO5026,OPP3032,2025-04-19,42930.71,Pending
SO5027,OPP3010,2025-04-01,27255.16,Billed
SO5028,OPP3007,2025-07-04,38501.95,Pending
SO5029,OPP3021,2025-05-25,38327.38,Fulfilled
SO5030,OPP3032,2025-06-22,29864.15,Billed
SO5031,OPP3037,2025-02-22,13831.92,Fulfilled
SO5032,OPP3019,2025-08-15,11404.87,Fulfilled
SO5033,OPP3026,2025-01-08,4322.16,Pending
SO5034,OPP3025,2025-02-08,29218.52,Fulfilled
SO5035,OPP3014,2025-05-07,49495.57,Pending
SO5036,OPP3001,2025-06-26,10215.73,Pending
SO5037,OPP3017,2025-02-19,18199.96,Pending
SO5038,OPP3015,2025-11-01,29869.41,Fulfilled
SO5039,OPP3031,2025-03-01,46202.38,Fulfilled
